pop_id;ind_id;fitness
1;1;24
1;2;21
1;3;24
1;4;28
1;5;25
1;6;31
1;7;30
1;8;31
1;9;33
1;10;29
1;11;29
1;12;29
1;13;25
1;14;36
1;15;24
1;16;24
1;17;29
1;18;24
1;19;32
1;20;24
1;21;25
1;22;24
1;23;25
1;24;29
1;25;24
2;1;21
2;2;21
2;3;32
2;4;25
2;5;23
2;6;21
2;7;24
2;8;24
2;9;20
2;10;23
2;11;21
2;12;21
2;13;21
2;14;30
2;15;21
2;16;21
2;17;28
2;18;21
2;19;27
2;20;27
2;21;30
2;22;30
2;23;22
2;24;28
2;25;22
3;1;20
3;2;20
3;3;23
3;4;29
3;5;22
3;6;22
3;7;25
3;8;22
3;9;21
3;10;23
3;11;19
3;12;20
3;13;20
3;14;23
3;15;27
3;16;22
3;17;26
3;18;21
3;19;20
3;20;20
3;21;18
3;22;20
3;23;20
3;24;20
3;25;20
4;1;18
4;2;29
4;3;18
4;4;18
4;5;20
4;6;27
4;7;19
4;8;20
4;9;23
4;10;24
4;11;24
4;12;19
4;13;18
4;14;19
4;15;18
4;16;18
4;17;18
4;18;23
4;19;21
4;20;18
4;21;18
4;22;21
4;23;22
4;24;18
4;25;18
5;1;18
5;2;23
5;3;20
5;4;19
5;5;18
5;6;28
5;7;22
5;8;19
5;9;23
5;10;18
5;11;27
5;12;22
5;13;31
5;14;19
5;15;24
5;16;19
5;17;21
5;18;21
5;19;17
5;20;18
5;21;22
5;22;20
5;23;18
5;24;23
5;25;22
6;1;17
6;2;19
6;3;26
6;4;21
6;5;18
6;6;19
6;7;17
6;8;22
6;9;23
6;10;17
6;11;19
6;12;17
6;13;26
6;14;17
6;15;22
6;16;23
6;17;24
6;18;18
6;19;18
6;20;20
6;21;18
6;22;23
6;23;19
6;24;20
6;25;18
7;1;17
7;2;23
7;3;18
7;4;16
7;5;18
7;6;17
7;7;17
7;8;17
7;9;18
7;10;25
7;11;20
7;12;17
7;13;20
7;14;21
7;15;16
7;16;17
7;17;20
7;18;16
7;19;20
7;20;22
7;21;24
7;22;23
7;23;22
7;24;20
7;25;18
8;1;16
8;2;21
8;3;16
8;4;23
8;5;16
8;6;16
8;7;21
8;8;18
8;9;17
8;10;23
8;11;21
8;12;23
8;13;20
8;14;17
8;15;21
8;16;16
8;17;17
8;18;18
8;19;17
8;20;16
8;21;17
8;22;16
8;23;18
8;24;22
8;25;16
9;1;16
9;2;17
9;3;17
9;4;22
9;5;20
9;6;17
9;7;16
9;8;17
9;9;19
9;10;16
9;11;16
9;12;16
9;13;17
9;14;21
9;15;17
9;16;17
9;17;16
9;18;21
9;19;18
9;20;16
9;21;24
9;22;17
9;23;18
9;24;18
9;25;17
10;1;16
10;2;17
10;3;16
10;4;17
10;5;22
10;6;20
10;7;16
10;8;18
10;9;16
10;10;17
10;11;17
10;12;18
10;13;21
10;14;17
10;15;19
10;16;17
10;17;21
10;18;16
10;19;18
10;20;17
10;21;18
10;22;18
10;23;17
10;24;22
10;25;16
11;1;16
11;2;16
11;3;17
11;4;18
11;5;17
11;6;16
11;7;20
11;8;21
11;9;16
11;10;16
11;11;17
11;12;19
11;13;16
11;14;18
11;15;18
11;16;16
11;17;18
11;18;17
11;19;16
11;20;16
11;21;19
11;22;15
11;23;16
11;24;19
11;25;17
12;1;15
12;2;15
12;3;19
12;4;16
12;5;17
12;6;18
12;7;17
12;8;17
12;9;15
12;10;18
12;11;16
12;12;16
12;13;17
12;14;16
12;15;18
12;16;15
12;17;14
12;18;15
12;19;18
12;20;15
12;21;15
12;22;18
12;23;17
12;24;15
12;25;17
13;1;14
13;2;16
13;3;16
13;4;19
13;5;14
13;6;13
13;7;17
13;8;19
13;9;15
13;10;17
13;11;14
13;12;16
13;13;14
13;14;15
13;15;16
13;16;17
13;17;14
13;18;18
13;19;15
13;20;15
13;21;17
13;22;17
13;23;14
13;24;15
13;25;13
14;1;13
14;2;16
14;3;13
14;4;11
14;5;15
14;6;16
14;7;15
14;8;14
14;9;14
14;10;15
14;11;12
14;12;13
14;13;13
14;14;14
14;15;14
14;16;13
14;17;13
14;18;13
14;19;13
14;20;13
14;21;16
14;22;13
14;23;14
14;24;19
14;25;17
15;1;11
15;2;18
15;3;16
15;4;17
15;5;11
15;6;14
15;7;13
15;8;12
15;9;17
15;10;11
15;11;14
15;12;13
15;13;17
15;14;14
15;15;11
15;16;13
15;17;13
15;18;11
15;19;14
15;20;13
15;21;11
15;22;15
15;23;11
15;24;12
15;25;18
16;1;11
16;2;16
16;3;12
16;4;15
16;5;14
16;6;11
16;7;16
16;8;17
16;9;16
16;10;11
16;11;12
16;12;16
16;13;11
16;14;12
16;15;16
16;16;11
16;17;13
16;18;12
16;19;15
16;20;11
16;21;12
16;22;12
16;23;15
16;24;19
16;25;12
17;1;11
17;2;16
17;3;14
17;4;12
17;5;14
17;6;12
17;7;11
17;8;15
17;9;14
17;10;16
17;11;12
17;12;11
17;13;14
17;14;18
17;15;11
17;16;10
17;17;16
17;18;16
17;19;11
17;20;11
17;21;14
17;22;13
17;23;11
17;24;13
17;25;12
18;1;10
18;2;10
18;3;15
18;4;11
18;5;17
18;6;14
18;7;13
18;8;17
18;9;11
18;10;16
18;11;11
18;12;12
18;13;13
18;14;11
18;15;13
18;16;11
18;17;10
18;18;10
18;19;11
18;20;14
18;21;12
18;22;12
18;23;15
18;24;11
18;25;10
19;1;10
19;2;11
19;3;8
19;4;11
19;5;11
19;6;11
19;7;11
19;8;10
19;9;16
19;10;11
19;11;9
19;12;12
19;13;11
19;14;13
19;15;11
19;16;13
19;17;15
19;18;12
19;19;10
19;20;12
19;21;12
19;22;16
19;23;14
19;24;10
19;25;11
20;1;8
20;2;14
20;3;8
20;4;11
20;5;8
20;6;9
20;7;14
20;8;7
20;9;9
20;10;15
20;11;9
20;12;13
20;13;11
20;14;8
20;15;8
20;16;15
20;17;9
20;18;10
20;19;8
20;20;12
20;21;12
20;22;15
20;23;15
20;24;8
20;25;12
21;1;7
21;2;13
21;3;9
21;4;9
21;5;14
21;6;16
21;7;12
21;8;8
21;9;9
21;10;10
21;11;13
21;12;9
21;13;16
21;14;14
21;15;11
21;16;12
21;17;9
21;18;13
21;19;9
21;20;7
21;21;8
21;22;13
21;23;13
21;24;9
21;25;15
22;1;7
22;2;8
22;3;11
22;4;10
22;5;12
22;6;12
22;7;10
22;8;10
22;9;14
22;10;16
22;11;17
22;12;9
22;13;7
22;14;11
22;15;8
22;16;8
22;17;8
22;18;8
22;19;10
22;20;9
22;21;9
22;22;11
22;23;13
22;24;8
22;25;8
23;1;7
23;2;10
23;3;9
23;4;7
23;5;17
23;6;11
23;7;10
23;8;8
23;9;12
23;10;9
23;11;7
23;12;7
23;13;7
23;14;9
23;15;9
23;16;15
23;17;18
23;18;12
23;19;17
23;20;14
23;21;9
23;22;14
23;23;11
23;24;13
23;25;8
24;1;7
24;2;11
24;3;8
24;4;15
24;5;18
24;6;10
24;7;8
24;8;11
24;9;14
24;10;12
24;11;11
24;12;8
24;13;9
24;14;11
24;15;9
24;16;7
24;17;16
24;18;16
24;19;12
24;20;14
24;21;9
24;22;10
24;23;15
24;24;9
24;25;9
25;1;7
25;2;8
25;3;15
25;4;7
25;5;9
25;6;10
25;7;9
25;8;7
25;9;13
25;10;12
25;11;10
25;12;9
25;13;9
25;14;9
25;15;14
25;16;9
25;17;8
25;18;15
25;19;8
25;20;11
25;21;7
25;22;13
25;23;10
25;24;13
25;25;11
26;1;7
26;2;13
26;3;14
26;4;11
26;5;9
26;6;9
26;7;9
26;8;7
26;9;10
26;10;13
26;11;9
26;12;8
26;13;15
26;14;9
26;15;9
26;16;12
26;17;11
26;18;7
26;19;9
26;20;9
26;21;9
26;22;12
26;23;8
26;24;8
26;25;7
27;1;7
27;2;14
27;3;8
27;4;7
27;5;9
27;6;8
27;7;9
27;8;10
27;9;10
27;10;9
27;11;8
27;12;9
27;13;6
27;14;8
27;15;7
27;16;9
27;17;10
27;18;8
27;19;14
27;20;9
27;21;9
27;22;8
27;23;9
27;24;10
27;25;11
28;1;6
28;2;11
28;3;7
28;4;13
28;5;6
28;6;8
28;7;7
28;8;9
28;9;15
28;10;9
28;11;7
28;12;9
28;13;6
28;14;10
28;15;7
28;16;8
28;17;14
28;18;12
28;19;8
28;20;10
28;21;12
28;22;8
28;23;8
28;24;9
28;25;12
29;1;6
29;2;10
